hour,hourly_actual_aqi,hourly_predicted_aqi,accuracy
2020-11-26 01:00:00,318.4216216216216,173.66354,54.53886668146397
2020-11-26 04:00:00,350.5693693693694,267.75787,76.37800017064221
2020-11-26 18:00:00,225.05135135135137,169.7349,75.42051748617901
2020-11-26 20:00:00,168.8186512118019,467.36688,-76.84552563913965
2020-11-27 08:00:00,202.3586170212766,358.01645,23.07822901509232
2020-11-27 11:00:00,176.981875658588,281.77972,40.786112661237084
2020-11-27 12:00:00,183.37924130663856,383.75095,-9.266296070682671
2020-11-27 15:00:00,213.8036036036036,268.2389,74.53958348668291
2020-11-27 18:00:00,225.05135135135137,244.5697,91.32715681115197
2020-11-27 19:00:00,114.87838383838384,242.25406,-10.878714292067954
2020-11-27 23:00:00,187.5976817702845,151.32832,80.66641439074981
2020-11-28 00:00:00,193.0604847207587,202.92088,94.89258587938684
2020-11-28 03:00:00,247.91351351351352,232.80392,93.90529836843967
2020-11-28 07:00:00,237.0086170212766,165.5013,69.82923198198023
2020-11-28 10:00:00,218.92531914893613,451.34778,-6.165180014312583
2020-11-28 12:00:00,301.62432432432433,207.7665,68.88253963482525
2020-11-29 01:00:00,197.1085353003161,217.94553,89.4286714723016
2020-11-29 14:00:00,485.4372915276852,172.89503,35.61634794185947
2020-11-29 17:00:00,123.42761467889908,277.48245,-24.81391470981407
2020-11-29 23:00:00,386.7207207207208,168.96344,43.69133353561033
2020-11-30 04:00:00,438.0374916611074,348.4953,79.55832706726072
2020-11-30 06:00:00,473.5031354236157,234.33868,49.490418658449244
2020-11-30 07:00:00,262.62223404255315,166.39522,63.35915102624041
2020-11-30 08:00:00,288.2358510638298,319.85394,89.03047914040987
2020-11-30 18:00:00,101.34432432432432,265.73685,-62.211868987760255
2020-12-01 00:00:00,387.79099099099096,438.56213,86.90760126522613
2020-12-01 04:00:00,469.7650433622415,166.99219,35.54802339160649
2020-12-01 08:00:00,331.74,247.45932,74.5943570471934
2020-12-01 11:00:00,454.2446964643095,414.51703,91.25412625288907
2020-12-01 15:00:00,119.23972972972972,186.51654,43.578527936867594
2020-12-01 16:00:00,115.6091891891892,221.77733,8.166349018950044
2020-12-01 18:00:00,107.82783783783783,435.72064,-204.08919517158785
2020-12-02 04:00:00,490.54909939959975,138.34724,28.202527419176462
2020-12-02 06:00:00,471.369913275517,185.72005,39.400063891756375
2020-12-02 07:00:00,328.33153153153154,186.63454,56.84331805495218
2020-12-03 00:00:00,302.9225225225225,183.84325,60.689857237766816
2020-12-03 02:00:00,409.2290860573716,289.7026,70.79228140703498
2020-12-03 09:00:00,356.6738738738739,162.96913,45.69135656046265
2020-12-03 14:00:00,170.39237288135593,288.89905,30.450716210917093
2020-12-04 05:00:00,108.08702702702703,232.69365,-15.28360589824291
2020-12-04 09:00:00,326.02,424.84848,69.68637500011981
2020-12-05 02:00:00,449.27818545697136,288.7353,64.26648341131104
2020-12-05 03:00:00,453.0162775183456,305.07065,67.34209416592212
2020-12-05 06:00:00,420.1131420947298,266.66003,63.473385490892184
2020-12-05 07:00:00,354.44414414414416,326.9046,92.23021665095891
2020-12-06 08:00:00,352.90810810810814,135.95573,38.52440086507779
2020-12-06 12:00:00,493.10500333555706,342.3877,69.43504790996934
2020-12-06 15:00:00,110.94,446.34964,-202.33427068016778
2020-12-06 18:00:00,477.9,166.43826,34.82700626479455
2020-12-06 20:00:00,451.5501000667112,161.41595,35.747075366830046
2020-12-07 10:00:00,381.6963963963965,358.07828,93.81232858589051
2020-12-07 11:00:00,447.37611741160777,173.4385,38.76794051581128
2020-12-07 21:00:00,75.255,274.3535,-164.56512538359163
2020-12-07 22:00:00,487.85,286.78293,58.785062717392
2020-12-07 23:00:00,478.65,194.39801,40.61381181529432
2020-12-08 03:00:00,94.43410256410256,482.5112,-310.95016191173073
2020-12-08 04:00:00,102.84761467889908,90.16965,87.67305639349621
2020-12-08 17:00:00,156.9256779661017,181.6379,84.25228042284174
2020-12-09 02:00:00,122.56899082568808,172.46117,59.29461830431304
2020-12-09 05:00:00,130.28311926605505,172.30093,67.74884205372015
2020-12-09 11:00:00,123.42761467889908,253.06468,-5.030845540677319
2020-12-09 12:00:00,127.71174311926605,81.48512,63.80393900392357
2020-12-09 15:00:00,129.4289908256881,160.82928,75.7393659318801
2020-12-09 16:00:00,124.28174311926604,173.87598,60.09531875036446
2020-12-09 23:00:00,352.81891891891894,243.6706,69.06392491886652
2020-12-10 04:00:00,413.42948632421616,299.51416,72.44625022255127
2020-12-10 09:00:00,211.81171171171167,129.45187,61.11648536011482
2020-12-10 11:00:00,376.0081081081081,112.287094,29.862944892647548
2020-12-10 16:00:00,119.13899082568808,232.86676,4.541939930804901
2020-12-10 22:00:00,240.1045045045045,243.41615,98.62074705494126
2020-12-11 02:00:00,354.15675675675675,438.09787,76.29831663103272
2020-12-11 07:00:00,201.05959866220732,160.77661,79.96465346488617
2020-12-11 14:00:00,461.3048032021348,178.24623,38.63957839628163
2020-12-11 18:00:00,330.70000000000005,439.86746,66.98897424910703
2020-12-11 20:00:00,315.90450450450453,388.3468,77.06829240471467
2020-12-11 21:00:00,304.47837837837835,297.12738,97.58570771217474
2020-12-11 22:00:00,286.9585585585586,170.79785,59.52004094962231
2020-12-12 04:00:00,215.2405405405405,385.67203,20.818129047929332
2020-12-12 13:00:00,466.42,172.84166,37.05708579089628
2020-12-12 18:00:00,102.64027027027026,127.85886,75.4301251696858
2020-12-13 02:00:00,270.9837837837838,160.4337,59.20417019843979
2020-12-13 03:00:00,280.5765765765766,225.64491,80.42186396060123
