day,daily_actual_aqi,daily_predicted_aqi,accuracy
2020-11-26,265.71524838853605,269.6308,98.52641127106779
2020-11-27,186.29296493573233,275.70544,52.00437148496142
2020-11-28,239.70645174576185,252.06807,94.84301835757138
2020-11-29,298.1735405569053,209.32161,70.20126906838068
2020-11-30,312.7486073030861,266.964,85.36056852815862
2020-12-01,283.745355367757,301.64935,93.6901178042609
2020-12-02,430.08351473554944,170.23395,39.58160262398805
2020-12-03,309.80446383378097,231.3535,74.67726497651071
2020-12-04,217.0535135135135,328.77106,48.529953831667726
2020-12-05,419.21293730354773,296.84265,70.80951586955601
2020-12-06,377.28064230207525,250.50948,66.39870897681354
2020-12-07,374.16550276160086,257.41025,68.79582588530162
2020-12-08,118.06913173636777,251.43958,-12.959620772635745
2020-12-09,158.64587439339735,179.66968,86.74796718076355
2020-12-10,272.0985602948457,203.5072,74.7917232373142
2020-12-11,322.0803714375058,296.18002,91.95842077288093
2020-12-12,261.4336036036036,228.79085,87.5139402986704
2020-12-13,201.26517868161707,237.3555,82.0682738949828
2020-12-14,228.80408064556187,321.95673,59.28715730688444
2020-12-15,280.4631708104311,217.34424,77.49475186107624
2020-12-16,232.0975362596639,220.94702,95.19576340404835
2020-12-17,201.64569642227033,245.57979,78.21223434705286
2020-12-18,206.16790133294066,297.46207,55.718535850050216
2020-12-19,201.66982309092046,184.1327,91.3040448324599
2020-12-20,207.74035605679444,238.58081,85.15432673964945
2020-12-21,285.52635300438055,182.51814,63.92339648501556
2020-12-22,309.8672230569615,193.34177,62.395036315887054
2020-12-23,240.59574085716008,213.97354,88.934883259966
2020-12-24,202.64247747747748,339.90497,32.263712676184994
2020-12-25,368.7022286329024,275.7835,74.7984381117925
2020-12-26,240.88676841921392,302.40216,74.4629426393971
2020-12-27,329.4623337142978,238.36922,72.35097688758972
2020-12-29,219.11504855751429,285.17868,69.84979703707255
2020-12-30,321.5101105441666,166.19386,51.69164435723356
2020-12-31,251.9868365853016,301.1797,80.47800766844985
2021-01-01,223.5395045045045,309.79596,61.41332819031384
2021-01-02,382.13284988791327,213.13737,55.77572693382599
2021-01-03,178.68660625852408,238.56612,66.48908873010328
2021-01-04,264.5367631650832,239.17049,90.41105802785599
2021-01-05,198.79323833844384,293.07532,52.572793807073964
2021-01-06,252.36385342808336,231.63448,91.78591647001346
2021-01-07,279.4671307756024,286.4083,97.51628612536
2021-01-08,357.9702085646115,229.36484,64.07372238214774
2021-01-09,193.8604837102368,275.4779,57.89888686897417
2021-01-10,213.0957145879661,252.05907,81.71556276491393
2021-01-11,201.2928286612182,196.25174,97.49564393684915
2021-01-12,221.37725225225225,260.4751,82.33881530002594
2021-01-13,306.2423531603652,218.03053,71.19542107317253
2021-01-14,174.176699006699,239.05571,62.751038914985486
2021-01-15,279.25276706780323,265.5148,95.08045481995994
2021-01-16,84.84769230769231,235.34427,-77.37262192750498
2021-01-17,309.47747347080235,213.85791,69.10290036874895
2021-01-18,221.1608607068607,274.15775,76.03695134614594
2021-01-19,285.5037413374913,259.204,90.78830588891057
2021-01-20,321.478978978979,182.55537,56.78609989533555
2021-01-21,307.6349073439633,194.48416,63.219146050777155
2021-01-22,191.6764864864865,359.20914,12.596138656675848
2021-01-23,393.75017679453975,217.94258,55.350471954322714
2021-01-24,391.47954165639953,288.18423,73.61412384407028
2021-01-25,233.0065526268059,291.46948,74.9093194436012
2021-01-26,306.15833765414885,328.32336,92.76027340182964
2021-01-28,277.9499537569485,204.09825,73.42985619679067
2021-01-29,258.4351351351351,283.08078,90.46350842300347
2021-01-30,219.62072072072075,244.1721,88.821007835442
2021-01-31,243.9551068838863,276.3652,86.71472903866628
2021-02-01,156.57202023461164,226.72624,55.19364077585694
2021-02-02,101.72007623007624,366.666,-160.4657002793391
