month,monthly_actual_aqi,monthly_predicted_aqi,accuracy
2020-11,252.8752482230453,257.63632,98.1172242709023
2020-12,271.66630134168804,247.792,91.21190453969074
2021-01,266.96963349360647,251.8198,94.32525729829966
2021-02,248.65624258710537,263.41086,94.06625974329886
2021-03,246.51252414417527,242.87036,98.52252422926792
2021-04,244.26078277696084,241.89525,99.03155376111485
2021-05,251.83821541924038,241.30348,95.81686467002677
2021-06,241.57659587159648,262.63626,91.28240670883311
2021-07,184.91827674245192,241.62276,69.33538360054479
2021-08,189.8249469421575,259.23627,63.43403685036356
2021-09,120.11468411332635,247.24165,-5.837991638985727
2021-10,169.4383467015036,245.1041,55.3431969619134
2021-11,272.35301091024235,261.30164,95.94226069646905
2021-12,221.29452403836453,247.416,88.19605842423924
2022-01,194.8756219232932,260.97562,66.08093209431647
2022-02,181.3788649948533,257.13293,58.23434578355711
2022-03,199.73698559970777,257.35492,71.15309732902554
2022-04,218.96529417188836,242.63557,89.18993977632331
2022-05,229.80164753408042,237.25273,96.7576021020229
2022-06,194.37006145075023,245.94183,73.4672244992777
2022-07,133.30096999108778,250.30554,12.225265870966737
2022-08,127.83231302565419,248.01617,5.9831912244028445
2022-09,214.4916816458533,243.1229,86.65159766497192
2022-10,271.4758213777806,244.32994,90.0006267799052
2022-11,263.539243498466,245.25302,93.06129060117073
2022-12,294.3564403906737,266.1695,90.42421299688317
2023-01,299.05595938115425,238.81596,79.85661420668775
